X,Y,W,H,flag
2,947,3,3,0
2,1310,5,5,1
2,1346,4,4,0
2,1436,5,4,1
2,1985,4,4,0
2,2072,4,3,1
3,569,3,3,1
3,1047,6,6,1
3,1926,5,6,0
3,2173,4,4,1
4,352,5,5,1
4,1202,3,3,0
4,1466,3,3,0
4,1568,4,4,0
4,1629,5,4,1
4,1786,3,3,0
5,1768,5,5,1
5,1996,7,7,1
5,2034,3,4,0
5,2060,3,3,0
5,2179,5,6,1
6,235,3,3,0
6,440,6,5,1
6,785,4,5,0
6,1407,6,5,1
6,1530,6,5,1
6,1746,5,6,0
6,1756,8,4,1
6,1883,5,5,1
6,1968,5,5,1
6,1979,7,5,1
7,398,4,4,0
7,706,5,5,0
7,1008,5,5,1
7,1367,5,5,1
7,1538,3,3,1
7,2134,3,3,1
8,572,6,8,1
8,659,4,4,0
8,816,5,3,1
8,1326,3,3,1
8,1342,3,3,0
8,1599,4,3,1
9,733,4,5,1
9,1126,5,5,1
9,1696,4,6,0
9,1942,4,4,1
10,862,5,5,1
10,1180,5,4,1
10,1238,6,5,1
10,1494,7,7,1
10,1508,3,3,1
10,1703,4,5,0
11,1148,3,3,0
11,1265,4,4,0
11,2091,4,5,1
12,798,6,5,1
12,1397,4,5,0
12,1558,4,4,0
13,1035,3,4,0
13,1630,6,6,1
13,2105,3,3,1
14,437,3,3,1
14,1642,3,3,1
14,1659,5,6,0
14,1835,3,3,0
14,1917,3,3,0
15,870,7,7,0
15,890,6,6,1
15,994,4,4,1
15,1350,4,4,1
15,1410,5,5,1
15,2016,3,3,0
15,2116,7,6,1
16,156,4,3,0
16,747,4,3,1
16,1095,8,9,1
16,1539,7,6,1
16,1673,5,5,1
16,2034,4,5,1
16,2151,3,4,1
17,376,7,3,0
17,854,3,3,0
17,1123,9,4,1
17,1433,5,5,1
17,1683,6,6,1
17,1970,5,4,1
17,2138,4,4,1
18,680,3,3,1
18,685,4,4,0
18,938,4,3,1
18,1751,3,3,1
18,2062,6,5,0
19,2049,5,5,1
20,199,6,5,0
20,1206,5,5,0
20,1730,5,5,1
20,1834,4,4,0
21,433,5,4,0
21,614,8,4,0
21,707,5,4,1
21,1106,4,3,0
21,1231,4,4,1
21,1251,5,6,1
21,1379,4,6,1
21,1573,7,6,1
21,1628,3,4,1
21,1741,3,4,0
21,1805,3,4,0
21,2241,5,6,0
22,915,3,4,1
22,1010,5,6,1
22,1267,3,3,0
22,1612,3,3,0
22,1790,4,3,1
22,1906,4,4,1
23,343,9,5,0
23,1865,4,4,0
23,1882,3,3,1
24,500,5,4,0
24,1389,4,5,1
24,1768,4,5,0
25,666,4,4,1
25,958,4,4,1
25,1067,3,4,1
25,1075,4,4,1
25,1358,3,4,1
25,1525,3,3,1
25,1584,6,5,1
25,1597,4,4,1
25,1994,4,5,0
26,553,4,4,1
26,1368,5,4,1
26,1841,4,4,0
26,1958,5,4,1
27,1100,3,3,0
27,1345,4,5,1
27,1441,4,4,1
27,1705,3,3,1
27,1711,3,3,1
27,1716,7,5,1
27,1980,3,4,1
28,285,7,4,1
28,515,4,4,1
28,704,3,3,1
28,776,5,5,0
28,1305,4,4,1
28,1795,6,5,1
28,2008,8,8,1
29,940,3,5,1
29,1463,3,3,1
29,1645,4,4,1
29,1674,5,4,1
29,1871,5,4,0
29,2125,5,6,1
30,573,9,6,1
30,718,4,4,1
30,927,3,4,1
30,1153,4,3,1
30,1336,3,4,0
31,884,4,3,1
31,910,4,3,1
31,917,3,3,0
31,995,10,4,1
31,1008,3,3,1
31,1217,3,4,1
31,1279,4,3,1
31,1782,4,4,1
32,463,4,4,1
32,1093,3,3,1
32,2236,4,4,1
33,678,8,8,1
33,725,3,3,1
33,988,3,3,1
33,1026,4,3,1
33,1140,3,4,0
33,1404,4,5,1
33,1684,5,7,1
33,1701,5,10,1
33,1775,4,3,1
33,2189,4,4,0
34,209,7,6,1
34,413,3,4,0
34,648,3,4,1
34,1057,7,5,1
34,1374,8,6,1
34,1429,5,5,1
34,1537,5,6,1
34,1557,6,5,1
34,1615,4,3,1
34,1656,6,5,1
34,2076,5,4,1
35,848,5,4,1
35,1299,9,6,1
35,1502,3,4,1
35,1815,5,5,1
35,2052,3,4,0
35,2102,6,5,1
35,2176,4,4,0
36,440,3,3,0
36,1166,3,3,0
36,1631,7,6,1
36,1828,4,5,1
36,1895,5,6,1
36,1932,5,4,1
36,1998,4,4,1
36,2030,6,6,1
36,2165,7,8,1
37,200,3,3,1
37,584,5,4,1
37,748,3,3,0
37,1156,5,5,0
37,1346,7,5,1
37,1450,3,3,1
37,1575,3,3,1
37,1756,3,3,1
37,2042,4,5,1
37,2063,4,4,1
38,539,3,3,1
38,892,4,4,0
38,1220,5,5,1
38,1264,5,4,1
38,1565,3,3,1
38,1883,3,5,1
39,521,5,4,0
39,782,5,4,0
39,1206,3,3,1
39,1646,4,4,1
39,1669,5,5,1
39,1734,3,3,1
39,1747,3,4,1
39,2186,4,4,0
40,453,3,3,0
40,897,4,5,0
40,1488,4,3,1
40,1787,9,9,1
40,2118,3,3,1
41,597,6,5,0
41,877,4,3,0
41,913,3,4,0
41,927,7,6,1
41,952,9,6,1
41,983,4,3,0
41,1992,4,3,1
41,2111,3,3,1
42,773,4,5,1
42,2051,3,3,0
42,2196,6,6,1
43,817,4,4,1
43,1355,4,4,1
43,1693,6,11,1
43,1871,4,4,1
43,1936,5,5,1
44,274,6,5,1
44,315,5,6,1
44,660,4,4,1
44,1085,6,6,1
44,1515,3,3,0
44,1661,4,3,1
44,1800,5,6,1
44,1985,5,4,1
45,1097,7,5,1
45,1412,6,8,1
45,1976,3,4,1
46,503,3,3,0
46,761,4,4,1
46,1004,3,3,1
46,1010,4,4,1
46,1251,4,3,1
46,2085,6,6,1
46,2116,5,5,1
47,466,3,3,0
47,508,3,4,0
47,542,3,3,0
47,606,6,4,1
47,1169,3,3,0
47,1187,3,3,1
47,1813,6,6,1
47,1888,3,4,1
48,752,3,3,0
48,1511,7,5,1
48,1910,5,6,1
48,1925,5,6,1
49,107,4,4,0
49,302,3,3,0
49,1336,5,5,1
49,1540,4,4,1
49,2026,3,4,1
49,2158,5,3,0
50,183,3,3,0
50,372,5,4,1
50,810,3,3,1
50,1030,3,3,1
50,1224,3,3,0
50,1257,3,3,1
50,1345,3,3,1
50,2206,5,6,1
51,655,5,4,0
51,824,4,4,1
51,1246,5,3,1
51,1445,6,6,1
51,1470,3,3,0
51,1551,5,5,1
51,1672,3,3,0
51,2002,5,5,1
52,448,4,3,1
52,1903,3,3,1
53,574,4,5,1
53,1138,4,4,0
53,1206,4,5,1
53,1234,3,3,1
53,1493,10,4,1
53,1737,6,6,1
53,1875,3,3,0
54,265,5,5,1
54,964,6,6,1
54,1266,4,5,1
54,1568,4,5,1
54,1598,3,3,1
54,1660,4,3,1
54,1806,4,4,1
54,2011,5,5,0
54,2043,7,7,1
56,1123,3,4,0
56,1778,6,4,1
57,741,5,5,1
57,807,3,4,0
57,837,5,4,0
57,1003,5,4,1
57,1277,4,3,0
57,1354,7,6,1
57,1618,3,3,0
57,1646,5,5,0
57,1796,3,3,0
57,1942,4,5,1
57,2089,3,4,1
57,2212,3,3,0
58,150,4,4,1
58,444,4,4,1
58,583,6,8,1
58,2226,4,5,1
59,176,8,7,1
59,419,7,6,1
59,758,3,5,1
59,917,4,3,1
59,997,8,4,0
59,1061,4,4,0
59,1078,5,4,1
59,1171,8,7,1
59,1676,4,3,1
59,2104,4,4,1
59,2188,5,6,1
60,494,3,3,1
60,1226,6,5,0
60,1371,7,6,1
60,1471,3,4,0
60,1835,5,5,0
60,1966,5,5,1
61,1147,4,3,0
62,614,8,6,1
62,771,3,3,1
